championId,assists,bans,champion,deaths,games,gamesPlayed,kills,teamKills,wins,wr,winrate,KDA,KP
1,0,0,Annie,0,0,0,0,0,0,0,0.00%,0.00,0
2,58,22,Olaf,33,34,12,27,118,4,0.3333333333333333,33.33%,2.58,72.03%
3,36,12,Galio,11,19,7,18,81,4,0.5714285714285714,57.14%,4.91,66.67%
4,0,0,Twisted Fate,0,0,0,0,0,0,0,0.00%,0.00,0
5,22,6,Xin Zhao,19,12,6,9,54,3,0.5,50.00%,1.63,57.41%
6,101,25,Urgot,56,50,25,79,323,15,0.6,60.00%,3.21,55.73%
7,48,18,LeBlanc,20,28,10,38,137,6,0.6,60.00%,4.30,62.77%
8,0,0,Vladimir,0,0,0,0,0,0,0,0.00%,0.00,0
9,0,0,Fiddlesticks,0,0,0,0,0,0,0,0.00%,0.00,0
10,0,0,Kayle,0,0,0,0,0,0,0,0.00%,0.00,0
11,0,0,Master Yi,0,0,0,0,0,0,0,0.00%,0.00,0
12,190,19,Alistar,71,45,26,17,299,16,0.6153846153846154,61.54%,2.92,69.23%
13,60,18,Ryze,24,31,13,28,146,8,0.6153846153846154,61.54%,3.67,60.27%
14,78,10,Sion,29,28,18,13,155,8,0.4444444444444444,44.44%,3.14,58.71%
15,0,1,Sivir,0,1,0,0,0,0,0,0.00%,0.00,0
16,2,0,Soraka,2,1,1,1,6,0,0.0,0.00%,1.50,50.00%
17,0,0,Teemo,0,0,0,0,0,0,0,0.00%,0.00,0
18,32,1,Tristana,20,11,10,32,91,4,0.4,40.00%,3.20,70.33%
19,0,0,Warwick,0,0,0,0,0,0,0,0.00%,0.00,0
20,0,0,Nunu & Willump,0,0,0,0,0,0,0,0.00%,0.00,0
21,0,0,Miss Fortune,0,0,0,0,0,0,0,0.00%,0.00,0
22,10,1,Ashe,5,3,2,2,21,0,0.0,0.00%,2.40,57.14%
23,0,0,Tryndamere,0,0,0,0,0,0,0,0.00%,0.00,0
24,0,1,Jax,0,1,0,0,0,0,0,0.00%,0.00,0
25,30,3,Morgana,11,6,3,6,48,2,0.6666666666666666,66.67%,3.27,75.00%
26,3,4,Zilean,0,5,1,2,5,1,1.0,100.00%,5.00,100.00%
27,7,2,Singed,2,3,1,2,18,1,1.0,100.00%,4.50,50.00%
28,2,0,Evelynn,1,1,1,0,3,0,0.0,0.00%,2.00,66.67%
29,0,0,Twitch,0,0,0,0,0,0,0,0.00%,0.00,0
30,0,0,Karthus,0,0,0,0,0,0,0,0.00%,0.00,0
31,7,1,Cho'Gath,9,4,3,7,34,1,0.3333333333333333,33.33%,1.56,41.18%
32,0,0,Amumu,0,0,0,0,0,0,0,0.00%,0.00,0
33,0,0,Rammus,0,0,0,0,0,0,0,0.00%,0.00,0
34,12,4,Anivia,0,5,1,3,18,1,1.0,100.00%,15.00,83.33%
35,0,0,Shaco,0,0,0,0,0,0,0,0.00%,0.00,0
36,0,0,Dr. Mundo,0,0,0,0,0,0,0,0.00%,0.00,0
37,0,0,Sona,0,0,0,0,0,0,0,0.00%,0.00,0
38,10,0,Kassadin,8,3,3,10,26,1,0.3333333333333333,33.33%,2.50,76.92%
39,40,25,Irelia,25,31,6,28,109,5,0.8333333333333334,83.33%,2.72,62.39%
40,0,1,Janna,0,1,0,0,0,0,0,0.00%,0.00,0
41,10,0,Gangplank,3,1,1,2,14,1,1.0,100.00%,4.00,85.71%
42,2,0,Corki,3,1,1,4,9,0,0.0,0.00%,2.00,66.67%
43,16,1,Karma,2,3,2,3,24,2,1.0,100.00%,9.50,79.17%
44,10,0,Taric,3,1,1,0,14,0,0.0,0.00%,3.33,71.43%
45,0,0,Veigar,0,0,0,0,0,0,0,0.00%,0.00,0
48,13,1,Trundle,10,4,3,4,19,0,0.0,0.00%,1.70,89.47%
50,0,0,Swain,0,0,0,0,0,0,0,0.00%,0.00,0
51,6,0,Caitlyn,1,1,1,4,10,0,0.0,0.00%,10.00,100.00%
53,0,0,Blitzcrank,0,0,0,0,0,0,0,0.00%,0.00,0
54,0,0,Malphite,0,0,0,0,0,0,0,0.00%,0.00,0
55,0,0,Katarina,0,0,0,0,0,0,0,0.00%,0.00,0
56,87,11,Nocturne,43,24,13,36,187,7,0.5384615384615384,53.85%,2.86,65.78%
57,23,0,Maokai,4,3,3,5,39,2,0.6666666666666666,66.67%,7.00,71.79%
58,0,0,Renekton,0,0,0,0,0,0,0,0.00%,0.00,0
59,25,0,Jarvan IV,7,3,3,5,37,1,0.3333333333333333,33.33%,4.29,81.08%
60,0,0,Elise,0,0,0,0,0,0,0,0.00%,0.00,0
61,29,0,Orianna,7,4,4,8,46,2,0.5,50.00%,5.29,80.43%
62,0,0,Wukong,0,0,0,0,0,0,0,0.00%,0.00,0
63,0,0,Brand,0,0,0,0,0,0,0,0.00%,0.00,0
64,21,4,Lee Sin,6,7,3,8,42,2,0.6666666666666666,66.67%,4.83,69.05%
67,1,0,Vayne,6,2,2,4,15,0,0.0,0.00%,0.83,33.33%
68,0,0,Rumble,0,0,0,0,0,0,0,0.00%,0.00,0
69,21,2,Cassiopeia,19,6,4,8,35,0,0.0,0.00%,1.53,82.86%
72,92,17,Skarner,30,29,12,20,159,7,0.5833333333333334,58.33%,3.73,70.44%
74,8,15,Heimerdinger,15,19,4,2,21,1,0.25,25.00%,0.67,47.62%
75,0,0,Nasus,0,0,0,0,0,0,0,0.00%,0.00,0
76,0,0,Nidalee,1,1,1,0,0,0,0.0,0.00%,0.00,0
77,0,0,Udyr,0,0,0,0,0,0,0,0.00%,0.00,0
78,27,3,Poppy,9,8,5,5,62,4,0.8,80.00%,3.56,51.61%
79,127,14,Gragas,60,37,23,35,248,9,0.391304347826087,39.13%,2.70,65.32%
80,0,0,Pantheon,0,0,0,0,0,0,0,0.00%,0.00,0
81,13,0,Ezreal,11,5,5,8,34,1,0.2,20.00%,1.91,61.76%
82,0,0,Mordekaiser,0,0,0,0,0,0,0,0.00%,0.00,0
